"season","week","team","rating"
"2014","17","BUF",1493
"2014","17","SD",1466
"2014","17","MIA",1465
"2014","17","HOU",1338
"2014","17","MIN",1333
"2014","17","CLE",1313
"2014","17","STL",1299
"2014","17","NYG",1256
"2014","17","ATL",1248
"2014","17","CHI",1239
"2014","17","NYJ",1226
"2014","17","TEN",1092
"2014","17","WSH",1016
"2014","17","TB",1000
"2014","17","OAK",963
"2014","17","JAX",891
"2014","2","DEN",1651
"2014","2","SEA",1620
"2014","2","CIN",1619
"2014","2","CAR",1614
"2014","2","SF",1593
"2014","2","NE",1589
"2014","2","PHI",1585
"2014","2","ARI",1571
"2014","2","NO",1571
"2014","2","SD",1566
"2014","2","IND",1519
"2014","2","MIA",1514
"2014","2","CHI",1504
"2014","2","KC",1502
"2014","2","DET",1502
"2014","2","DAL",1497
"2014","2","PIT",1496
"2014","2","BAL",1492
"2014","2","BUF",1484
"2014","2","GB",1480
"2014","2","TEN",1452
"2014","2","NYJ",1450
"2014","2","STL",1447
"2014","2","MIN",1408
"2014","2","NYG",1360
"2014","2","CLE",1358
"2014","2","HOU",1347
"2014","2","ATL",1337
"2014","2","WSH",1315
"2014","2","TB",1301
"2014","2","OAK",1268
"2014","2","JAX",1193
"2014","3","SEA",1641
"2014","3","CIN",1636
"2014","3","DEN",1633
"2014","3","ARI",1596
"2014","3","NE",1594
"2014","3","CAR",1593
"2014","3","PHI",1589
"2014","3","SD",1585
"2014","3","NO",1584
"2014","3","SF",1571
"2014","3","PIT",1538
"2014","3","KC",1533
"2014","3","IND",1527
"2014","3","DET",1526
"2014","3","CHI",1522
"2014","3","DAL",1508
"2014","3","BAL",1499
"2014","3","MIA",1485
"2014","3","BUF",1454
"2014","3","GB",1453
"2014","3","STL",1432
"2014","3","NYJ",1425
"2014","3","TEN",1408
"2014","3","NYG",1386
"2014","3","MIN",1375
"2014","3","ATL",1371
"2014","3","CLE",1344
"2014","3","HOU",1319
"2014","3","WSH",1294
"2014","3","TB",1260
"2014","3","OAK",1237
"2014","3","JAX",1142
"2014","4","SEA",1641
"2014","4","CIN",1636
"2014","4","DEN",1633
"2014","4","ARI",1596
"2014","4","SF",1590
"2014","4","SD",1588
"2014","4","KC",1573
"2014","4","PHI",1572
"2014","4","CAR",1567
"2014","4","NE",1565
"2014","4","NO",1559
"2014","4","DAL",1547
"2014","4","IND",1547
"2014","4","BAL",1543
"2014","4","DET",1540
"2014","4","PIT",1532
"2014","4","CHI",1497
"2014","4","MIA",1496
"2014","4","GB",1492
"2014","4","BUF",1440
"2014","4","STL",1432
"2014","4","NYG",1410
"2014","4","MIN",1401
"2014","4","NYJ",1400
"2014","4","TEN",1367
"2014","4","HOU",1348
"2014","4","ATL",1344
"2014","4","CLE",1344
"2014","4","TB",1286
"2014","4","WSH",1252
"2014","4","OAK",1190
"2014","4","JAX",1096
"2014","5","DEN",1660
"2014","5","SEA",1645
"2014","5","CIN",1609
"2014","5","SF",1607
"2014","5","NE",1606
"2014","5","SD",1604
"2014","5","PHI",1583
"2014","5","CAR",1583
"2014","5","IND",1568
"2014","5","NO",1565
"2014","5","ARI",1563
"2014","5","KC",1555
"2014","5","DAL",1553
"2014","5","PIT",1535
"2014","5","DET",1530
"2014","5","BAL",1522
"2014","5","GB",1517
"2014","5","MIA",1496
"2014","5","CHI",1473
"2014","5","BUF",1459
"2014","5","NYG",1429
"2014","5","STL",1406
"2014","5","TEN",1361
"2014","5","MIN",1358
"2014","5","NYJ",1352
"2014","5","CLE",1352
"2014","5","HOU",1328
"2014","5","ATL",1316
"2014","5","TB",1258
"2014","5","WSH",1216
"2014","5","OAK",1190
"2014","5","JAX",1062
"2014","6","DEN",1667
"2014","6","SEA",1629
"2014","6","NE",1622
"2014","6","SF",1619
"2014","6","CIN",1609
"2014","6","SD",1606
"2014","6","PHI",1601
"2014","6","CAR",1583
"2014","6","DAL",1581
"2014","6","IND",1574
"2014","6","ARI",1567
"2014","6","NO",1565
"2014","6","KC",1555
"2014","6","DET",1543
"2014","6","BAL",1533
"2014","6","GB",1530
"2014","6","PIT",1518
"2014","6","CHI",1487
"2014","6","MIA",1482
"2014","6","BUF",1423
"2014","6","CLE",1402
"2014","6","NYG",1385
"2014","6","STL",1369
"2014","6","TEN",1364
"2014","6","MIN",1322
"2014","6","NYJ",1311
"2014","6","HOU",1302
"2014","6","ATL",1280
"2014","6","TB",1207
"2014","6","WSH",1179
"2014","6","OAK",1169
"2014","6","JAX",1046
"2014","7","DEN",1694
"2014","7","NE",1625
"2014","7","SEA",1624
"2014","7","IND",1611
"2014","7","PHI",1601
"2014","7","SD",1594
"2014","7","DAL",1591
"2014","7","SF",1583
"2014","7","CIN",1579
"2014","7","ARI",1571
"2014","7","KC",1571
"2014","7","GB",1566
"2014","7","NO",1558
"2014","7","CAR",1556
"2014","7","DET",1551
"2014","7","BAL",1544
"2014","7","PIT",1526
"2014","7","MIA",1509
"2014","7","CHI",1461
"2014","7","BUF",1427
"2014","7","CLE",1394
"2014","7","STL",1389
"2014","7","TEN",1358
"2014","7","NYG",1352
"2014","7","MIN",1313
"2014","7","NYJ",1295
"2014","7","HOU",1273
"2014","7","ATL",1235
"2014","7","TB",1207
"2014","7","WSH",1197
"2014","7","OAK",1130
"2014","7","JAX",1108
"2014","8","DEN",1713
"2014","8","NE",1642
"2014","8","SEA",1637
